name,musicbrainz_artist_id,musicbrainz_mbid,spotify_id,performer_pre_normalized,first_top_20_hit_year,first_charting_song_year,last_charting_song_year,years_through_first_top_20_hit,#_of_charting_songs_through_first_top_20_hit,first_song_year,years_active_on_charts,first_charting_song_position,first_charting_song_duration,top_20_hit_song_#_wks_on_chart_any_position,genre_tags_musicbrainz,first_year_on_chart_songs,genre_tags_through_first_top_10_hit,major_genre_categories_through_first_top_10_hit,#_of_major_genre_categories_through_first_top_10_hit,musicbrainz_major_genre_categories,musicbrainz_#_of_genres,spotify_genres,spotify_major_genre_categories,combined_major_genre_categories,first_top_20_song_major_genres,first_top_20_song_duration_ms,first_top_20_song_acousticness,first_top_20_song_danceability,first_top_20_song_energy,first_top_20_song_instrumentalness,first_top_20_song_liveness,first_top_20_song_loudness,first_top_20_song_speechiness,first_top_20_song_tempo,first_top_20_song_valence,first_top_20_song_mode,first_top_20_song_explicit,degree_centrality_top20_rolling5,harmonic_closeness_centrality_top20_rolling5,betweenness_centrality_top20_rolling5,eigenvector_centrality_top20_rolling5,power_of_connected_artists_top20_rolling5,top_20_hitmaker
meghan linsey,1240360.0,33f101d3-fd9d-4963-a5e2-14c4cad8cdb3,,Meghan Linsey,,2015.0,2015.0,,,2015.0,2015-2015,92,1,,,2015.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
meghan trainor,1131760.0,b2029169-2574-4305-820f-252a5fde3697,6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,2014.0,2014.0,2024.0,1.0,3.0,2014.0,2014-2024,1,47,47.0,"pop, doo-wop, blue-eyed soul, dance-pop, bubblegum pop, soul, r&b",2014.0,,,0,"Pop, R&B/Soul/Funk",2,"['dance pop', 'hip pop', 'pop', 'post-teen pop']","Hip Hop/Rap, Pop","Hip Hop/Rap, Pop, R&B/Soul/Funk","Blues, Easy Listening/Vocal, Electronic/Dance, Hip Hop/Rap, Jazz, Latin, Pop, R&B/Soul/Funk, Reggae/Caribbean, Rock",187920.0,0.0573,0.807,0.887,2.87e-06,0.124,-3.726,0.0503,134.052,0.961,1.0,1.0,0.0001452362509682,3.0,0.0,8.970464304340131e-17,,1.0
megumi hayashibara,,,,Megumi Hayashibara,,,,,,,2021-2021,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
meiko,473520.0,7bcf66e0-26ad-45b2-bfd3-34da93f62227,,Meiko,,,,,,,2008-2012,0,0,,"indie pop, folk",,,,0,"Folk, Pop",2,,,"Folk, Pop",,,,,,,,,,,,,,,,,,,
meja,2686767.0,1b66854f-b1b3-4cc7-8540-fe1cc37c9796,,Meja,,1993.0,2000.0,,,1993.0,1993-2000,68,12,,"pop, europop, pop rock",1993.0,,,0,Pop,1,,,Pop,,,,,,,,,,,,,,,,,,,
mel & kim,40549.0,7a9e37d6-4396-415b-80f6-4b23b1c041df,,Mel & Kim,,1987.0,1987.0,,,1987.0,1987-1987,78,7,,"pop, synth-pop, eurodance",1987.0,,,0,"Electronic/Dance, Pop",2,,,"Electronic/Dance, Pop",,,,,,,,,,,,,,,,,,,
mel and tim,,,,Mel And Tim,1969.0,1969.0,1972.0,1.0,1.0,1969.0,1969-1973,10,14,,,1969.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,1.0
mel carter,95016.0,180701dd-ca0c-4d6b-b63c-483bf19f31ee,,Mel Carter,1965.0,1963.0,1966.0,3.0,3.0,1963.0,1963-1966,44,10,15.0,,1963.0,"soul, r&b, country soul","Country/Americana, R&B/Soul/Funk",2,,0,,,,"R&B/Soul/Funk, Rock",149533.0,0.745,0.463,0.555,0.0,0.163,-6.43,0.0381,73.613,0.515,0.0,0.0,,,,,,0.0
mel gadson,667454.0,e7ed1399-40b9-4861-b3f1-f08bceaea023,,Mel Gadson,,1960.0,1960.0,,,1960.0,1960-1960,69,5,,,1960.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
mel torme,64218.0,4439c2fd-a754-4f6a-b3a6-791b47726156,4X8QFzZ1HqwPfwDfyjtwXC,Mel Torme,,1962.0,1962.0,,,1962.0,1962-1992,36,11,,,1962.0,,,0,,0,"['adult standards', 'brill building pop', 'contemporary vocal jazz', 'easy listening', 'lounge', 'swing', 'vocal jazz']","Easy Listening/Vocal, Jazz, Pop","Easy Listening/Vocal, Jazz, Pop",,,,,,,,,,,,,,,,,,,
melanie,2714967.0,9a46d8e4-775a-499f-92bc-25eeedcc942a,,Melanie,1970.0,1970.0,1973.0,1.0,3.0,1970.0,1969-1974,6,17,17.0,"indie pop, folk, contemporary folk, alternative pop, pop, vocal jazz, pop",1970.0,,,0,"Folk, Jazz, Pop",3,,,"Folk, Jazz, Pop",,459960.0,0.426,0.317,0.866,0.000445,0.0792,-4.896,0.0703,94.372,0.603,1.0,0.0,,,,,,1.0
melanie fiona,605416.0,209e47f9-df65-47bd-9a40-4fb4c5c9c349,,Melanie Fiona,,2009.0,2012.0,,,2009.0,2009-2012,43,20,,contemporary r&b,2009.0,,,0,R&B/Soul/Funk,1,,,R&B/Soul/Funk,,,,,,,,,,,,,,,,,,,
melanie martinez,944543.0,0df563ec-1a79-486e-a46d-5b9862a40311,63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,,2012.0,2023.0,,,2012.0,2012-2023,86,1,,"indie pop, alternative pop, art pop, emo pop",2012.0,,,0,"Pop, Punk/Hardcore",2,"['alt z', 'electropop', 'pop']",Pop,"Pop, Punk/Hardcore",,,,,,,,,,,,,,,,,,,
melba montgomery,172583.0,6aa51fda-8324-4a34-8652-5b2f209b9e01,,Melba Montgomery,,1974.0,1974.0,,,1974.0,1974-1974,39,10,,country,1974.0,,,0,Country/Americana,1,,,Country/Americana,,,,,,,,,,,,,,,,,,,
melba moore,38151.0,3dd35366-4551-4818-bc87-c0fd83f002b1,,Melba Moore,,1976.0,1979.0,,,1976.0,1971-1986,91,5,,soul,1976.0,,,0,R&B/Soul/Funk,1,,,R&B/Soul/Funk,,,,,,,,,,,,,,,,,,,
meli'sa morgan,133468.0,ef7cd54b-2570-475c-a8fa-34c18cc51136,2YT6FujbjJP3ohD51eOZIV,Meli'sa Morgan,,1986.0,1986.0,,,1986.0,1986-1987,46,14,,,1986.0,,,0,,0,"['contemporary r&b', 'funk', 'post-disco', 'quiet storm', 'urban contemporary']",R&B/Soul/Funk,R&B/Soul/Funk,,,,,,,,,,,,,,,,,,,
melinda doolittle,383711.0,99210e7f-5107-43b9-be3b-b27c4b96b015,,Melinda Doolittle,,,,,,,2009-2009,0,0,,"soul, gospel",,,,0,"Gospel/Christian/Religious, R&B/Soul/Funk",2,,,"Gospel/Christian/Religious, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
melissa etheridge,1640.0,b3ae82c2-e60b-4551-a76d-6620f1b456aa,01Ppu7N8uYJI8SAONo2YZA,Melissa Etheridge,1994.0,1989.0,2005.0,6.0,4.0,1989.0,1988-2019,94,4,40.0,"rock, heartland rock, folk rock, pop rock, roots rock",1989.0,,,0,"Pop, Rock",2,"['heartland rock', 'lilith', 'mellow gold', 'pop rock']","Folk, Pop, Rock","Folk, Pop, Rock",,295000.0,0.0448,0.614,0.476,0.0,0.0608,-9.648,0.0321,84.938,0.644,1.0,0.0,0.0001794365691727,673.4199911199872,0.0,3.443974067663845e-05,91.5,1.0
melissa helser,1263985.0,d97af7de-3fe1-4d92-938f-907fc7f2e4c4,0cng44S55pPu1nDrtFFy7r,Melissa Helser,,,,,,,2016-2016,0,0,,,,,,0,,0,"['anthem worship', 'deep ccm']",,,,,,,,,,,,,,,,,,,,,
melissa lawson,796305.0,3e863423-b92e-4096-b45e-e8757b7bfaa1,,Melissa Lawson,,2008.0,2008.0,,,2008.0,2008-2008,79,1,,country,2008.0,,,0,Country/Americana,1,,,Country/Americana,,,,,,,,,,,,,,,,,,,
melissa manchester,63862.0,b1fdf831-b341-459e-9226-c7dc6ef0a93d,78udmCDNaDu5jqfVnBqwia,Melissa Manchester,1975.0,1975.0,1985.0,1.0,2.0,1975.0,1973-1985,6,17,17.0,"pop, easy listening, soul, blue-eyed soul, r&b",1975.0,,,0,"Easy Listening/Vocal, Pop, R&B/Soul/Funk",3,"['adult standards', 'bubblegum pop', 'mellow gold', 'soft rock', 'yacht rock']","Easy Listening/Vocal, Pop, Rock","Easy Listening/Vocal, Pop, R&B/Soul/Funk, Rock",Pop,235000.0,0.737,0.449,0.381,0.429,0.0625,-12.145,0.0264,90.26,0.316,1.0,0.0,0.0007593014426727,1.0,0.0,5.8716805038835035e-25,,1.0
mello-kings,,,,Mello-Kings,,1961.0,1961.0,,,1961.0,1961-1961,95,1,,,1961.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
mellow man ace,62379.0,eb37b2c4-94bd-4d8f-8b73-8efdcec51013,,Mellow Man Ace,1990.0,1990.0,1990.0,1.0,1.0,1990.0,1990-1990,14,24,24.0,hip hop,1990.0,,,0,Hip Hop/Rap,1,,,Hip Hop/Rap,"Hip Hop/Rap, Latin, Pop, R&B/Soul/Funk",258533.0,0.0678,0.966,0.505,0.0,0.197,-14.762,0.111,113.592,0.826,1.0,0.0,,,,,,0.0
mellow rackz,2317663.0,f7504e7c-75e2-45e5-9c4a-f0c3e04fbd32,,Mellow Rackz,,2025.0,2025.0,,,2025.0,2025-2025,75,8,,,2025.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
mellowhigh,1047053.0,e691cd4c-e589-4975-8a7f-968a0757926c,,MellowHigh,,,,,,,2013-2013,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
mellowhype,804856.0,9ccc5e22-85f7-4b03-b8f1-19b03980906f,,MellowHype,,,,,,,2011-2012,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
melody gardot,398386.0,c47267ed-7482-40bb-a4ea-e1399cc8ce04,2P1puQXmG48EVLBrHbum1J,Melody Gardot,,,,,,,2008-2015,0,0,,"jazz, vocal jazz, pop, smooth jazz",,,,0,"Jazz, Pop",2,"['adult standards', 'contemporary vocal jazz', 'lounge', 'soul', 'vocal jazz']","Easy Listening/Vocal, Jazz, R&B/Soul/Funk","Easy Listening/Vocal, Jazz, Pop, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
melvin james,1517325.0,ab8b731c-ba29-4b7e-a373-c8291cb6f636,,Melvin James,,,,,,,1987-1987,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
melvin riley,2731264.0,06c591b6-53c9-491c-b106-a9c101218d64,,Melvin Riley,,,,,,,1994-1994,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
memphis bleek,30038.0,48db8d53-98c7-4ec8-8d49-00a89ebad8d4,4jWzNq3sdzSpqn7BnzvIKn,Memphis Bleek,,2000.0,2001.0,,,2000.0,1999-2005,68,13,,hip hop,2000.0,,,0,Hip Hop/Rap,1,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'rap', 'southern hip hop']",Hip Hop/Rap,Hip Hop/Rap,,,,,,,,,,,,,,,,,,,
memphis horns,,,,Memphis Horns,,,,,,,1978-1978,0,0,,soul,,,,0,R&B/Soul/Funk,1,,,R&B/Soul/Funk,,,,,,,,,,,,,,,,,,,
memphis may fire,513503.0,681b5ab2-b7dd-4dff-85e9-1e84503ad36a,,Memphis May Fire,,,,,,,2011-2016,0,0,,"metalcore, southern rock, post-hardcore, southern metal",,,,0,"Metal, Punk/Hardcore, Rock",3,,,"Metal, Punk/Hardcore, Rock",,,,,,,,,,,,,,,,,,,
men at large,315779.0,8c5e687d-9e4a-4819-86f3-0dc79d041f53,,Men At Large,,1993.0,1993.0,,,1993.0,1993-1994,31,20,,,1993.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
men at work,2632.0,395cc503-63b5-4a0b-a20a-604e3fcacea2,0f3EsoviYnRKTkmayI3cux,Men At Work,1982.0,1982.0,1985.0,1.0,2.0,1982.0,1982-1985,1,25,25.0,"rock, new wave, pop rock, pop",1982.0,,,0,"Pop, Rock",2,"['album rock', 'australian rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']","Pop, Rock","Pop, Rock","Electronic/Dance, Hip Hop/Rap, Pop",220867.0,0.0485,0.746,0.79,0.0261,0.0534,-4.7,0.0257,107.231,0.891,0.0,0.0,,,,,,1.0
men of vizion,203444.0,42f3714d-cf61-4bfd-aef5-75f1eef63f1f,,Men Of Vizion,,1996.0,1996.0,,,1996.0,1996-1996,67,11,,,1996.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
men without hats,11075.0,bcabb743-60ed-406b-94da-9bf82e032e58,,Men Without Hats,1983.0,1983.0,1987.0,1.0,2.0,1983.0,1983-1987,3,24,24.0,"new wave, pop, electronic",1983.0,,,0,"Electronic/Dance, Pop",2,,,"Electronic/Dance, Pop","Electronic/Dance, Pop, Rock",,,,,,,,,,,,,,,,,,1.0
menomena,121129.0,ad386705-fb8c-40ec-94d7-e690e079e979,,Menomena,,,,,,,2010-2012,0,0,,indie rock,,,,0,Rock,1,,,Rock,,,,,,,,,,,,,,,,,,,
menudo,104277.0,96bfe83a-ef0c-4447-a473-451523f7d4bf,,Menudo,,1985.0,1985.0,,,1985.0,1984-2007,62,11,,"pop, latin pop, teen pop",1985.0,,,0,"Latin, Pop",2,,,"Latin, Pop",,,,,,,,,,,,,,,,,,,
mercedes,115589.0,b7582b2f-72b7-4eb3-a826-a21b33f86e13,,Mercedes,,1999.0,1999.0,,,1999.0,1999-1999,96,4,,"rock, folk, tango, latin",1999.0,,,0,"Folk, Latin, Rock",3,,,"Folk, Latin, Rock",,,,,,,,,,,,,,,,,,,
mercy,1951430.0,e58a3031-42bf-4a83-9aeb-adc99ba33d89,,Mercy,1969.0,1969.0,1969.0,1.0,2.0,1969.0,1969-1969,2,13,13.0,"gothic rock, post-punk, heavy metal, rock, hard rock, contemporary christian",1969.0,,,0,"Gospel/Christian/Religious, Metal, Punk/Hardcore, Rock",4,,,"Gospel/Christian/Religious, Metal, Punk/Hardcore, Rock",,195640.0,0.69,0.431,0.279,0.0,0.0804,-13.818,0.0265,86.15,0.495,1.0,0.0,,,,,,0.0
mercyme,15919.0,c5a016d4-567e-4698-96a2-af134adb8395,,MercyMe,,2003.0,2003.0,,,2003.0,2001-2022,71,18,,"christian rock, contemporary christian, alternative rock, pop rock",2003.0,contemporary christian,Gospel/Christian/Religious,1,"Gospel/Christian/Religious, Pop, Rock",3,,,"Gospel/Christian/Religious, Pop, Rock",,,,,,,,,,,,,,,,,,,
meredith andrews,531677.0,f517cbbd-043c-4a94-9e43-70bd54dd63fa,,Meredith Andrews,,,,,,,2013-2013,0,0,,contemporary christian,,,,0,Gospel/Christian/Religious,1,,,Gospel/Christian/Religious,,,,,,,,,,,,,,,,,,,
meredith brooks,1273872.0,24313d96-8247-4add-b393-7eb1cca6a874,,Meredith Brooks,1997.0,1997.0,1998.0,1.0,1.0,1997.0,1997-1998,2,30,30.0,"alternative rock, pop rock",1997.0,,,0,"Pop, Rock",2,,,"Pop, Rock",,252760.0,0.0112,0.617,0.886,9.63e-05,0.0523,-5.953,0.055,96.328,0.629,1.0,0.0,,,,,,0.0
meri wilson,36523.0,6b082b33-7af6-4ebc-b03a-11175b1d3f7d,,Meri Wilson,1977.0,1977.0,1977.0,1.0,1.0,1977.0,1977-1977,18,16,16.0,,1977.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,0.0
merl saunders,116300.0,7ae1ae9e-66f5-461f-8a16-1a394b400c14,,Merl Saunders,,,,,,,1973-1973,0,0,,"blues, jazz rock, jazz-funk, soul jazz",,,,0,"Blues, Jazz",2,,,"Blues, Jazz",,,,,,,,,,,,,,,,,,,
merle haggard,3641.0,deb2448c-6fdf-4d31-921e-757630515dbd,2ptmyXoL7poH6Zq62h1QT9,Merle Haggard And The Strangers,,1969.0,1977.0,,,1969.0,1967-2016,41,14,,,1969.0,,,0,,0,"['bakersfield sound', 'country', 'country rock', 'nashville sound', 'outlaw country']","Country/Americana, Rock","Country/Americana, Rock",,,,,,,,,,,,,,,,,,,
merril bainbridge,1657.0,fe43fc62-2628-4177-bab6-1c741fca5dbf,,Merril Bainbridge,1996.0,1996.0,1997.0,1.0,1.0,1996.0,1996-1997,4,30,30.0,pop,1996.0,,,0,Pop,1,,,Pop,"Pop, Rock",205733.0,0.702,0.695,0.499,5.85e-05,0.154,-9.201,0.218,175.896,0.78,1.0,0.0,,,,,,0.0
merrilee rush,65460.0,9c2dcb84-4327-4010-b1e4-cd2c5cd0f2ef,,Merrilee Rush,,1968.0,1977.0,,,1968.0,1968-1977,79,4,,,1968.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
merrilee rush & the turnabouts,,,,Merrilee Rush & The Turnabouts,1968.0,1968.0,1968.0,1.0,2.0,1968.0,1968-1968,7,16,,,1968.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,0.0
merry clayton,61963.0,f086b523-e6eb-4159-8705-e408cae53170,,Merry Clayton,,1970.0,1988.0,,,1970.0,1970-1988,73,7,,soul,1970.0,,,0,R&B/Soul/Funk,1,,,R&B/Soul/Funk,,,,,,,,,,,,,,,,,,,
merryweather,2849302.0,a999a059-fce7-4186-aeb2-1fe917891a3f,,Merryweather,,,,,,,1969-1969,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
merv griffin,145338.0,234a106a-b458-4f9c-ad21-8fa2762cb0b3,3Gul9YJiH5cPauKRIMYo3p,Merv Griffin,,1961.0,1961.0,,,1961.0,1961-1961,69,4,,,1961.0,,,0,,0,[],,,,,,,,,,,,,,,,,,,,,
meryl streep,122356.0,eb8b0a8a-dc7d-480c-b83a-70a069150d05,,Meryl Streep,,2008.0,2008.0,,,2008.0,2008-2008,99,1,,,2008.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
mesa,2199798.0,dcd172fd-ab81-4d19-b630-7d4ed8d0d721,,Mesa,,1977.0,1977.0,,,1977.0,1977-1977,55,9,,"atmospheric black metal, black metal, electronic, dance, witch house, emo",1977.0,,,0,"Electronic/Dance, Metal, Punk/Hardcore",3,,,"Electronic/Dance, Metal, Punk/Hardcore",,,,,,,,,,,,,,,,,,,
meshuggah,31416.0,cf8b3b8c-118e-4136-8d1d-c37091173413,3ggwAqZD3lyT2sbovlmfQY,Meshuggah,,,,,,,2002-2022,0,0,,"djent, metal, progressive metal, death metal, thrash metal",,,,0,Metal,1,"['alternative metal', 'death metal', 'djent', 'nu metal', 'progressive groove metal', 'swedish metal', 'technical groove metal', 'technical thrash']",Metal,Metal,,,,,,,,,,,,,,,,,,,
messengers,827079.0,72d9e3bc-dea6-4519-ab07-1ab54ef16ddc,,Messengers,,1971.0,1971.0,,,1971.0,1971-1971,62,9,,"jazz, hard bop, afro-jazz, heavy metal, bebop, metal, rock, afro-cuban jazz, christian rock",1971.0,,,0,"Gospel/Christian/Religious, Jazz, Metal, Rock",4,,,"Gospel/Christian/Religious, Jazz, Metal, Rock",,,,,,,,,,,,,,,,,,,
mest,518.0,5aea663c-7508-4992-bf56-fb0362797187,,Mest,,,,,,,2003-2005,0,0,,"black metal, punk, metal, samba, ska, ska punk, electro, synthwave",,,,0,"Electronic/Dance, Metal, Punk/Hardcore, Reggae/Caribbean",4,,,"Electronic/Dance, Metal, Punk/Hardcore, Reggae/Caribbean",,,,,,,,,,,,,,,,,,,
metal allegiance,1158033.0,380e935e-2118-471e-9fbb-d34eb2698584,,Metal Allegiance,,,,,,,2015-2015,0,0,,"heavy metal, thrash metal, metal, metalcore, groove metal",,,,0,Metal,1,,,Metal,,,,,,,,,,,,,,,,,,,
metal church,41259.0,09830e79-cc8d-422f-ae25-6efde4320b73,,Metal Church,,,,,,,1986-2016,0,0,,"heavy metal, thrash metal, metal, power metal, us power metal",,,,0,Metal,1,,,Metal,,,,,,,,,,,,,,,,,,,
metallica,93.0,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,2ye2Wgw4gimLv2eAKyk1NB,Metallica,1991.0,1989.0,2022.0,3.0,3.0,1989.0,1984-2023,35,15,20.0,"thrash metal, heavy metal, metal, hard rock, heavy metal, metal, hard rock",1989.0,,,0,"Metal, Rock",2,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']","Metal, Rock","Metal, Rock",Metal,331573.0,0.00206,0.579,0.824,0.00903,0.059,-8.71,0.03,123.331,0.635,0.0,0.0,0.0002729257641921,375.8763819513863,0.0,5.617076857654919e-06,100.0,1.0
method man,172.0,94dbfe2e-ca48-4e08-a5a8-e1e74136c63d,,Method Man,1995.0,1994.0,2003.0,2.0,4.0,1994.0,1994-2015,45,20,20.0,"hip hop, hip hop, east coast hip hop, hardcore hip hop, boom bap, east coast hip hop, pop rap",1994.0,hip hop,Hip Hop/Rap,1,Hip Hop/Rap,1,,,Hip Hop/Rap,,,,,,,,,,,,,,0.0042904814873669,1029.0211399711432,0.0063411373934201,0.006135452835366,688.5,0.0
methods of mayhem,1938.0,a5f8887e-e178-4969-ba9a-18a64156c42f,,Methods Of Mayhem,,,,,,,1999-2010,0,0,,"nu metal, rap metal",,,,0,Metal,1,,,Metal,,,,,,,,,,,,,,,,,,,
methrone,212368.0,4d33456d-046a-4df9-9c5a-3dc8d2e08f14,,Methrone,,,,,,,2000-2001,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
metric,124855.0,4449ccf6-c948-4d33-aa97-b6ad98ce4b5b,1rCIEwPp5OnXW0ornlSsRl,Metric,,,,,,,2009-2018,0,0,,"indie rock, new wave, soft rock, electro, electronic, techno",,,,0,"Electronic/Dance, Pop, Rock",3,"['alternative dance', 'canadian indie', 'canadian rock', 'electropop', 'indie pop', 'indie rock', 'indietronica', 'metropopolis', 'modern rock', 'neo-synthpop', 'new rave', 'pop rock']","Electronic/Dance, Pop, Rock","Electronic/Dance, Pop, Rock",,,,,,,,,,,,,,,,,,,
metro boomin,966690.0,59db3d82-86ea-451f-881f-dffc8ec387c9,0iEtIxbK0KxaSlF7G42ZOp,21 Savage & Metro Boomin,2017.0,2016.0,2025.0,2.0,11.0,2016.0,2016-2025,36,21,31.0,,2016.0,,,0,,0,"['hip hop', 'rap', 'southern hip hop', 'trap']",Hip Hop/Rap,Hip Hop/Rap,Hip Hop/Rap,,,,,,,,,,,,,0.0010187543412827,4898.480880230592,3.605937749925886e-05,0.0401797299681922,1310.5,1.0
metro station,425225.0,ab7ebf8c-059f-4071-93b1-dd3ae80d60b2,,Metro Station,2008.0,2008.0,2008.0,1.0,2.0,2008.0,2008-2008,10,30,30.0,"electropop, dance-pop, pop rock, pop punk, dance-rock",2008.0,,,0,"Pop, Punk/Hardcore, Rock",3,,,"Pop, Punk/Hardcore, Rock",Rock,179947.0,0.00221,0.618,0.955,3.09e-06,0.486,-3.836,0.0798,150.034,0.79,1.0,0.0,,,,,,0.0
metropole orkest,351268.0,9f2ae371-63ad-496e-95ca-f90bad9b5b23,7JYdpWAsiqzrmMB3qxkEbI,Metropole Orkest,,,,,,,2015-2015,0,0,,"jazz, pop, big band, musical",,,,0,"Easy Listening/Vocal, Jazz, Pop",3,"['baithak gana', 'dutch jazz']",,"Easy Listening/Vocal, Jazz, Pop",,,,,,,,,,,,,,,,,,,
mew,83956.0,fa927f59-d443-418a-b741-e557208aaf09,6kDMoHTcBICPILP2aclPWZ,Mew,,,,,,,2009-2009,0,0,,"death metal, post-hardcore, indie rock, electronic, rockabilly, doom metal, death-doom metal, tech house, liquid funk",,,,0,"Electronic/Dance, Metal, Punk/Hardcore, Rock",4,"['danish alternative rock', 'danish rock', 'dream pop', 'melancholia']",Rock,"Electronic/Dance, Metal, Punk/Hardcore, Rock",,,,,,,,,,,,,,,,,,,
mewithoutyou,62330.0,759b5ff1-91fe-4ec9-b9b7-75b7b2ceb283,3D4qYDvoPn5cQxtBm4oseo,mewithoutYou,,,,,,,2006-2015,0,0,,"post-hardcore, rock, indie rock",,,,0,"Punk/Hardcore, Rock",2,"['dreamo', 'emo', 'indie rock', 'philly indie', 'screamo']","Punk/Hardcore, Rock","Punk/Hardcore, Rock",,,,,,,,,,,,,,,,,,,
meytal,1255725.0,f7535d1f-befa-40cf-979d-99432dff09b0,,Meytal,,,,,,,2015-2015,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
mf doom,8833.0,188711ed-c99b-439c-844a-ca831f63a727,,MF Doom,,,,,,,2021-2024,0,0,,"east coast hip hop, hip hop, underground hip hop, abstract hip hop",,,,0,Hip Hop/Rap,1,,,Hip Hop/Rap,,,,,,,,,,,,,,,,,,,
mfsb,63046.0,f5e66486-4481-4ebf-b1f9-f87ebabf5897,2mknvtcck8i82nKxDPDibv,MFSB,1974.0,1974.0,1975.0,1.0,2.0,1974.0,1973-1976,1,18,18.0,philly soul,1974.0,,,0,R&B/Soul/Funk,1,"['classic soul', 'disco', 'funk', 'instrumental soul', 'jazz funk', 'motown', 'philly soul', 'post-disco', 'quiet storm', 'soul']","Electronic/Dance, Jazz, R&B/Soul/Funk","Electronic/Dance, Jazz, R&B/Soul/Funk","Electronic/Dance, R&B/Soul/Funk",,,,,,,,,,,,,0.0015797788309636,2.0,1.5810276679841897e-06,2.838013965146026e-21,100.0,0.0
mgk,830986.0,f6af669a-56ea-448a-a044-de76181ada33,6TIYQ3jFPwQSRmorSezPxX,MGK,2018.0,2012.0,2025.0,7.0,3.0,2012.0,2012-2025,98,1,4.0,"hip hop, pop punk, pop rap, rap rock, downtempo, instrumental, hip hop, lo-fi, boom bap",2012.0,,,0,"Easy Listening/Vocal, Electronic/Dance, Hip Hop/Rap, Punk/Hardcore, Rock",5,"['ohio hip hop', 'pop rap']",Hip Hop/Rap,"Easy Listening/Vocal, Electronic/Dance, Hip Hop/Rap, Punk/Hardcore, Rock",Hip Hop/Rap,286117.0,0.217,0.895,0.839,3e-06,0.239,-4.512,0.227,149.951,0.756,1.0,1.0,0.0018712916476494,5231.931746031368,0.0051710019535305,0.0339247376142639,1863.5,
mgk,830986.0,f6af669a-56ea-448a-a044-de76181ada33,6TIYQ3jFPwQSRmorSezPxX,MGK,2018.0,2012.0,2025.0,7.0,3.0,2012.0,2012-2025,98,1,4.0,"hip hop, pop punk, pop rap, rap rock, downtempo, instrumental, hip hop, lo-fi, boom bap",2012.0,,,0,"Easy Listening/Vocal, Electronic/Dance, Hip Hop/Rap, Punk/Hardcore, Rock",5,"['ohio hip hop', 'pop rap']",Hip Hop/Rap,"Easy Listening/Vocal, Electronic/Dance, Hip Hop/Rap, Punk/Hardcore, Rock",Hip Hop/Rap,286117.0,0.217,0.895,0.839,3e-06,0.239,-4.512,0.227,149.951,0.756,1.0,1.0,0.0018712916476494,5231.931746031368,0.0051710019535305,0.0339247376142639,1863.5,
mgmt,292299.0,c485632c-b784-4ee9-8ea1-c5fb365681fc,0SwO7SWeDHJijQ3XNS7xEE,MGMT & Ratatat,,2009.0,2009.0,,,2009.0,2008-2018,59,3,,,2009.0,,,0,,0,"['alternative dance', 'indie rock', 'indietronica', 'modern rock', 'rock']","Electronic/Dance, Rock","Electronic/Dance, Rock",,,,,,,,,,,,,,,,,,,
mia x,87315.0,1ed8407b-514a-44f7-a8b0-5f174ae7cc3e,,Mia X,,1998.0,1998.0,,,1998.0,1997-1998,41,7,,,1998.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
